gala,course,gender,distance,stroke,age,isCatchAllYoung,isCatchAllOld,time
SANS,LCM,F,50,FREE,,false,false,27:32
SANS,LCM,F,100,FREE,,false,false,59:84
SANS,LCM,F,200,FREE,,false,false,2:09:89
SANS,LCM,F,400,FREE,,false,false,4:33:89
SANS,LCM,F,800,FREE,,false,false,9:26:23
SANS,LCM,F,1500,FREE,,false,false,17:56:59
SANS,LCM,F,50,BACK,,false,false,31:41
SANS,LCM,F,100,BACK,,false,false,1:06:81
SANS,LCM,F,200,BACK,,false,false,2:24:02
SANS,LCM,F,50,BREAST,,false,false,34:10
SANS,LCM,F,100,BREAST,,false,false,1:15:00
SANS,LCM,F,200,BREAST,,false,false,2:40:87
SANS,LCM,F,50,FLY,,false,false,28:57
SANS,LCM,F,100,FLY,,false,false,1:03:86
SANS,LCM,F,200,FLY,,false,false,2:22:46
SANS,LCM,F,200,IM,,false,false,2:27:01
SANS,LCM,F,400,IM,,false,false,5:08:36
SANS,LCM,M,50,FREE,,false,false,24:20
SANS,LCM,M,100,FREE,,false,false,53:70
SANS,LCM,M,200,FREE,,false,false,1:58:05
SANS,LCM,M,400,FREE,,false,false,4:17:26
SANS,LCM,M,800,FREE,,false,false,8:48:80
SANS,LCM,M,1500,FREE,,false,false,16:58:34
SANS,LCM,M,50,BACK,,false,false,27:54
SANS,LCM,M,100,BACK,,false,false,1:00:35
SANS,LCM,M,200,BACK,,false,false,2:10:90
SANS,LCM,M,50,BREAST,,false,false,30:35
SANS,LCM,M,100,BREAST,,false,false,1:06:52
SANS,LCM,M,200,BREAST,,false,false,2:26:76
SANS,LCM,M,50,FLY,,false,false,26:04
SANS,LCM,M,100,FLY,,false,false,57:83
SANS,LCM,M,200,FLY,,false,false,2:09:05
SANS,LCM,M,200,IM,,false,false,2:11:80
SANS,LCM,M,400,IM,,false,false,4:43:62
SANS,SCM,F,50,FREE,,false,false,26:52
SANS,SCM,F,100,FREE,,false,false,58:24
SANS,SCM,F,200,FREE,,false,false,2:06:69
SANS,SCM,F,400,FREE,,false,false,4:27:49
SANS,SCM,F,800,FREE,,false,false,9:13:43
SANS,SCM,F,1500,FREE,,false,false,17:32:59
SANS,SCM,F,50,BACK,,false,false,30:81
SANS,SCM,F,100,BACK,,false,false,1:05:61
SANS,SCM,F,200,BACK,,false,false,2:21:62
SANS,SCM,F,50,BREAST,,false,false,33:10
SANS,SCM,F,100,BREAST,,false,false,1:13:00
SANS,SCM,F,200,BREAST,,false,false,2:36:87
SANS,SCM,F,50,FLY,,false,false,27:87
SANS,SCM,F,100,FLY,,false,false,1:02:46
SANS,SCM,F,200,FLY,,false,false,2:19:66
SANS,SCM,F,200,IM,,false,false,2:23:81
SANS,SCM,F,400,IM,,false,false,5:01:96
SANS,SCM,M,50,FREE,,false,false,23:40
SANS,SCM,M,100,FREE,,false,false,52:10
SANS,SCM,M,200,FREE,,false,false,1:54:85
SANS,SCM,M,400,FREE,,false,false,4:10:86
SANS,SCM,M,800,FREE,,false,false,8:36:00
SANS,SCM,M,1500,FREE,,false,false,16:34:34
SANS,SCM,M,50,BACK,,false,false,26:94
SANS,SCM,M,100,BACK,,false,false,59:15
SANS,SCM,M,200,BACK,,false,false,2:08:50
SANS,SCM,M,50,BREAST,,false,false,29:35
SANS,SCM,M,100,BREAST,,false,false,1:04:52
SANS,SCM,M,200,BREAST,,false,false,2:22:76
SANS,SCM,M,50,FLY,,false,false,25:34
SANS,SCM,M,100,FLY,,false,false,56:43
SANS,SCM,M,200,FLY,,false,false,2:06:25
SANS,SCM,M,200,IM,,false,false,2:08:60
SANS,SCM,M,400,IM,,false,false,4:37:22
SANY,LCM,F,50,FREE,,false,false,30:81
SANY,LCM,F,100,FREE,,false,false,1:07:47
SANY,LCM,F,200,FREE,,false,false,2:26:45
SANY,LCM,F,400,FREE,,false,false,5:05:59
SANY,LCM,F,800,FREE,,false,false,10:31:75
SANY,LCM,F,1500,FREE,,false,false,20:01:18
SANY,LCM,F,50,BACK,,false,false,35:05
SANY,LCM,F,100,BACK,,false,false,1:14:55
SANY,LCM,F,200,BACK,,false,false,2:40:69
SANY,LCM,F,50,BREAST,,false,false,38:05
SANY,LCM,F,100,BREAST,,false,false,1:23:68
SANY,LCM,F,200,BREAST,,false,false,2:59:49
SANY,LCM,F,50,FLY,,false,false,31:88
SANY,LCM,F,100,FLY,,false,false,1:11:25
SANY,LCM,F,200,FLY,,false,false,2:38:95
SANY,LCM,F,200,IM,,false,false,2:44:03
SANY,LCM,F,400,IM,,false,false,5:44:05
SANY,LCM,M,50,FREE,,false,false,26:89
SANY,LCM,M,100,FREE,,false,false,59:67
SANY,LCM,M,200,FREE,,false,false,2:11:19
SANY,LCM,M,400,FREE,,false,false,4:42:90
SANY,LCM,M,800,FREE,,false,false,9:41:50
SANY,LCM,M,1500,FREE,,false,false,18:39:83
SANY,LCM,M,50,BACK,,false,false,30:28
SANY,LCM,M,100,BACK,,false,false,1:06:36
SANY,LCM,M,200,BACK,,false,false,2:23:94
SANY,LCM,M,50,BREAST,,false,false,33:37
SANY,LCM,M,100,BREAST,,false,false,1:13:15
SANY,LCM,M,200,BREAST,,false,false,2:41:38
SANY,LCM,M,50,FLY,,false,false,28:64
SANY,LCM,M,100,FLY,,false,false,1:03:60
SANY,LCM,M,200,FLY,,false,false,2:21:91
SANY,LCM,M,200,IM,,false,false,2:24:93
SANY,LCM,M,400,IM,,false,false,5:11:89
SANY,SCM,F,50,FREE,,false,false,30:01
SANY,SCM,F,100,FREE,,false,false,1:05:87
SANY,SCM,F,200,FREE,,false,false,2:23:25
SANY,SCM,F,400,FREE,,false,false,4:59:19
SANY,SCM,F,800,FREE,,false,false,10:18:95
SANY,SCM,F,1500,FREE,,false,false,19:37:18
SANY,SCM,F,50,BACK,,false,false,34:45
SANY,SCM,F,100,BACK,,false,false,1:13:35
SANY,SCM,F,200,BACK,,false,false,2:38:29
SANY,SCM,F,50,BREAST,,false,false,37:05
SANY,SCM,F,100,BREAST,,false,false,1:21:68
SANY,SCM,F,200,BREAST,,false,false,2:55:49
SANY,SCM,F,50,FLY,,false,false,31:18
SANY,SCM,F,100,FLY,,false,false,1:09:85
SANY,SCM,F,200,FLY,,false,false,2:36:15
SANY,SCM,F,200,IM,,false,false,2:40:83
SANY,SCM,F,400,IM,,false,false,5:37:65
SANY,SCM,M,50,FREE,,false,false,26:09
SANY,SCM,M,100,FREE,,false,false,58:07
SANY,SCM,M,200,FREE,,false,false,2:07:99
SANY,SCM,M,400,FREE,,false,false,4:36:50
SANY,SCM,M,800,FREE,,false,false,9:28:70
SANY,SCM,M,1500,FREE,,false,false,18:15:83
SANY,SCM,M,50,BACK,,false,false,29:68
SANY,SCM,M,100,BACK,,false,false,1:05:16
SANY,SCM,M,200,BACK,,false,false,2:21:54
SANY,SCM,M,50,BREAST,,false,false,32:37
SANY,SCM,M,100,BREAST,,false,false,1:11:15
SANY,SCM,M,200,BREAST,,false,false,2:37:38
SANY,SCM,M,50,FLY,,false,false,27:94
SANY,SCM,M,100,FLY,,false,false,1:02:20
SANY,SCM,M,200,FLY,,false,false,2:19:11
SANY,SCM,M,200,IM,,false,false,2:21:73
SANY,SCM,M,400,IM,,false,false,5:05:49
SANJ,LCM,F,100,FREE,16,false,false,1:03:89
SANJ,LCM,F,100,FREE,15,false,false,1:04:30
SANJ,LCM,F,100,FREE,14,false,false,1:05:15
SANJ,LCM,F,100,FREE,13,false,false,1:06:74
SANJ,LCM,F,100,FREE,12,true,false,1:07:98
SANJ,LCM,F,200,FREE,16,false,false,2:18:68
SANJ,LCM,F,200,FREE,15,false,false,2:19:56
SANJ,LCM,F,200,FREE,14,false,false,2:21:40
SANJ,LCM,F,200,FREE,13,false,false,2:24:86
SANJ,LCM,F,200,FREE,12,true,false,2:27:55
SANJ,LCM,F,400,FREE,16,false,false,4:49:37
SANJ,LCM,F,400,FREE,15,false,false,4:51:21
SANJ,LCM,F,400,FREE,14,false,false,4:55:04
SANJ,LCM,F,400,FREE,13,false,false,5:02:27
SANJ,LCM,F,400,FREE,12,true,false,5:07:89
SANJ,LCM,F,800,FREE,16,false,false,9:58:22
SANJ,LCM,F,800,FREE,15,false,false,10:02:03
